vus,method,endpoint,avg_ms,min_ms,med_ms,p90_ms,p95_ms,max_ms,requests,failures,failure_percent
10,GET,/api/company,6.19,4.46,5.89,7.53,7.99,13.46,236,0,0.00
10,GET,/api/marketing,7.01,4.52,6.66,8.62,9.89,22.08,236,0,0.00
10,GET,/api/new-release,6.79,3.89,6.25,8.40,10.42,33.65,236,0,0.00
10,POST,/api/auth/local,3.27,1.78,3.08,3.93,4.55,11.63,236,0,0.00
10,PUT,/api/company,25.49,19.84,24.93,28.45,30.34,54.56,236,0,0.00
50,GET,/api/company,5.41,0.72,4.71,7.71,10.31,22.36,1176,0,0.00
50,GET,/api/marketing,10.38,0.65,7.71,19.21,22.91,42.83,1176,0,0.00
50,GET,/api/new-release,5.75,0.54,4.94,7.98,10.55,38.27,1176,0,0.00
50,POST,/api/auth/local,3.19,0.54,2.64,5.33,6.45,17.87,1176,0,0.00
50,PUT,/api/company,20.58,13.17,18.95,27.43,31.97,54.72,1176,0,0.00
100,GET,/api/company,196.34,2.11,189.14,351.71,414.32,523.50,1857,0,0.00
100,GET,/api/marketing,160.65,3.53,134.65,352.54,411.03,615.47,1857,0,0.00
100,GET,/api/new-release,171.94,0.52,163.62,337.69,399.56,521.66,1857,0,0.00
100,POST,/api/auth/local,133.65,0.77,117.91,302.09,344.07,519.02,1857,0,0.00
100,PUT,/api/company,202.74,16.59,176.95,406.56,456.01,670.51,1857,0,0.00
